Name,Count
Pink,6
Flag,41

Tool,Interpretation,GPR Line,Position (m),Depth (m),Velocity,GPS-Easting (17S),GPS-Northing (17S),Latitude,Longitude,GPS-Elevation,Comment
Point,Pink,Lineset/line1,3.86,5.25,Wet Soil (0.08 m/ns),590966.21999999997,4135853.1800000002,37.364945800000001,-79.972716800000001,357.88,
Point,Pink,Lineset/line1,5.20,3.65,Wet Soil (0.08 m/ns),590966.25,4135854.4500000002,37.364957199999999,-79.972716300000002,357.94,
Point,Pink,Lineset/line1,6.34,2.94,Wet Soil (0.08 m/ns),590966.31999999995,4135855.5299999998,37.364966899999999,-79.972715300000004,357.86000000000001,
Point,Pink,Lineset/line1,7.00,3.88,Wet Soil (0.08 m/ns),590966.45999999996,4135855.8799999999,37.364970100000001,-79.972713799999994,357.79000000000002,
Point,Pink,Lineset/line16,6.80,3.80,Wet Soil (0.08 m/ns),N/A,N/A,N/A,N/A,N/A,
Point,Pink,Lineset/line5,165.81,1.55,Wet Soil (0.08 m/ns),590923.94999999995,4135954.9399999999,37.365867000000001,-79.973181600000004,365.61000000000001,

Flag,Flag,Lineset/line16,8.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F1
Flag,Flag,Lineset/line14,18.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F1
Flag,Flag,Lineset/line14,37.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F2
Flag,Flag,Lineset/line14,49.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F3
Flag,Flag,Lineset/line14,58.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F4
Flag,Flag,Lineset/line14,92.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F5
Flag,Flag,Lineset/line14,119.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F6
Flag,Flag,Lineset/line14,135.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F7
Flag,Flag,Lineset/line14,139.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F8
Flag,Flag,Lineset/line14,147.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F9
Flag,Flag,Lineset/line14,149.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F10
Flag,Flag,Lineset/line14,159.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F11
Flag,Flag,Lineset/line14,163.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F12
Flag,Flag,Lineset/line14,170.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F13
Flag,Flag,Lineset/line8,45.16,N/A,N/A,590952.40000000002,4135911.6200000001,37.365473799999997,-79.9728657,361.30000000000001,F1
Flag,Flag,Lineset/line8,65.04,N/A,N/A,590968.73999999999,4135914.1000000001,37.365494499999997,-79.9726809,361.93000000000001,F2
Flag,Flag,Lineset/line8,93.88,N/A,N/A,590990.67000000004,4135907.71,37.365434800000003,-79.972434100000001,359.80000000000001,F3
Flag,Flag,Lineset/line8,103.92,N/A,N/A,591002.03000000003,4135907.6600000001,37.365433199999998,-79.972305800000001,360.13,F4
Flag,Flag,Lineset/line8,119.64,N/A,N/A,591013.89000000001,4135900.4399999999,37.365366999999999,-79.972172700000002,357.24000000000001,F5
Flag,Flag,Lineset/line8,126.20,N/A,N/A,591017.26000000001,4135903.1499999999,37.365391099999997,-79.972134400000002,357.43000000000001,F6
Flag,Flag,Lineset/line17,62.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F1
Flag,Flag,Lineset/line17,87.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F2
Flag,Flag,Lineset/line17,99.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F3
Flag,Flag,Lineset/line17,110.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F4
Flag,Flag,Lineset/line12,10.52,N/A,N/A,591011.12,4136046.1299999999,37.366680299999999,-79.972186100000002,364.56,F1
Flag,Flag,Lineset/line12,17.00,N/A,N/A,591014.89000000001,4136051.3199999998,37.366726700000001,-79.972142899999994,364.48000000000002,F2
Flag,Flag,Lineset/line12,23.48,N/A,N/A,591018.93999999994,4136056.4199999999,37.366772300000001,-79.9720966,363.48000000000002,F3
Flag,Flag,Lineset/line12,30.52,N/A,N/A,591023.06999999995,4136062.04,37.366822499999998,-79.972049200000001,361.60000000000002,F4
Flag,Flag,Lineset/line12,47.68,N/A,N/A,591034.53000000003,4136059.4399999999,37.366798000000003,-79.971920100000006,357.81999999999999,F5
Flag,Flag,Lineset/line12,56.56,N/A,N/A,591033.31999999995,4136051.98,37.3667309,-79.971934700000006,358.14999999999998,F6
Flag,Flag,Lineset/line12,75.88,N/A,N/A,591043.27000000002,4136037.9100000001,37.366603099999999,-79.971824100000006,357.57999999999998,F7
Flag,Flag,Lineset/line11,19.64,N/A,N/A,591009.0,4136029.2000000002,37.366527900000001,-79.972212200000001,354.69,F1
Flag,Flag,Lineset/line9,24.68,N/A,N/A,591004.83999999997,4135952.8300000001,37.3658401,-79.972268499999998,365.77999999999997,F1
Flag,Flag,Lineset/line15,7.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,F1
Flag,Flag,Lineset/line10,23.72,N/A,N/A,590992.87,4135949.21,37.365808600000001,-79.972404100000006,363.19,F1
Flag,Flag,Lineset/line5,35.20,N/A,N/A,590966.18000000005,4135871.5299999998,37.3651111,-79.972714999999994,365.97000000000003,F1
Flag,Flag,Lineset/line5,46.56,N/A,N/A,590962.06999999995,4135881.6600000001,37.3652029,-79.972760199999996,366.19,F2
Flag,Flag,Lineset/line5,65.84,N/A,N/A,590952.64000000001,4135895.2400000002,37.365326199999998,-79.972864999999999,366.91000000000003,F3
Flag,Flag,Lineset/line5,80.28,N/A,N/A,590941.87,4135902.0600000001,37.365388699999997,-79.972985699999995,367.43000000000001,F4
Flag,Flag,Lineset/line5,136.56,N/A,N/A,590905.93000000005,4135939.3700000001,37.365728500000003,-79.973387000000002,372.18000000000001,F5
Flag,Flag,Lineset/line5,147.24,N/A,N/A,590910.81000000006,4135946.3900000001,37.365791199999997,-79.973331000000002,367.68000000000001,F6
